Exp Type,Part,Stage,std_mean,std_std,cv_mean,cv_std,iqr_mean,iqr_std,mad_mean,mad_std,range_mean,range_std
1,lefteye,-10,0.2053639662101693,0.10248625127136707,-1.9902974621843443,0.9053568215188861,0.2940115048126241,0.16127088641278364,0.16818157536272405,0.0851978348102924,0.8207852555165093,0.3694305613204879
1,lefteye,-15,0.2755872601394533,0.1206186741106645,-1.814071308595408,0.7878533908112,0.37790661166618644,0.25320988164904756,0.22281216791040737,0.10328786934908114,1.131789381636578,0.5001995435450561
1,lefteye,-25,0.205447784156352,0.09687852868181318,-0.8930988703921677,0.4100620073185447,0.3160773914217027,0.1809658471419452,0.17072534406677609,0.08498135449594123,0.8116476007718951,0.36063246521388614
1,lefteye,-5,0.18349669879092143,0.15199265327579056,-2.990576361593989,2.33181945460683,0.25601626525080334,0.19593212304198993,0.15101614717369163,0.12193864281897818,0.6492385800614882,0.5119299886669534
1,lefteye,0,0.08741280522117952,0.10934996626163662,-1.3503162220619096,7.606938069478697,0.15719428467091334,0.22434567648429005,0.07499531067767573,0.09362772577744256,0.2986722673760407,0.36973000331760975
1,lefteye,10,0.13207666538977877,0.14329926686131456,7.401757327151042,17.45957821950646,0.2182534077565836,0.27232014714622504,0.11079611073659586,0.12212163999012822,0.4574221176252646,0.45401206846530234
1,lefteye,15,0.17394592149775676,0.0791839571747153,-20.992726707248476,82.19802945850468,0.2819555261942602,0.14454368132896814,0.14592935404220417,0.06686411880252956,0.6216659734960065,0.2621148048116169
1,lefteye,25,0.18920470474868886,0.03377609485823263,1.6111542383736228,0.32620563263099633,0.26985141817099656,0.035064751515103285,0.15654170401946713,0.02027357000485717,0.712606869598947,0.16632499513039925
1,lefteye,5,0.08061331797484585,0.09382457872504585,1.8813879762388614,11.867577004942643,0.12730593048178615,0.165725232181717,0.0684065498496227,0.0817847179270939,0.28322599578293967,0.29466074458639874
2,head,-10,0.23148120920609586,0.14376785202220352,-4.372222369662726,2.562484741387351,0.34710186264657067,0.23025513211140042,0.1951544788936236,0.12023563709716607,0.8530369463165842,0.5200840196497457
2,head,-15,0.1717660490966492,0.0908377163330479,-1.675533449718286,0.6599798339502714,0.21731676915252982,0.1859295146184504,0.1346868841747947,0.08012278527334521,0.7170790782536213,0.27448775960583477
2,head,-25,0.30577744939371254,0.17747538781539454,-1.6379486991665984,0.907266032745447,0.526270415565517,0.37882719511064666,0.2654435788895811,0.165472323128012,0.9964554442395143,0.4356714416992576
2,head,-5,0.2660630405181716,0.11447012268181762,6.209854529377196,34.01916065960821,0.4839616679449814,0.28255347120889684,0.22415467521534208,0.10307159037264832,0.8788657936502507,0.31820239285390584
2,head,0,0.12830178473680431,0.07468332356379222,13.21981606019195,25.815278495699605,0.18859719064760042,0.13055772903160487,0.10841483977010186,0.06765004215050528,0.4918047707504775,0.2680577388075507
2,head,10,0.2195204098799579,0.15267855450103487,2.2311587307469067,1.4869798760258628,0.3608675664167271,0.34878196299530984,0.19500910168815289,0.1537554303346445,0.7253976794802653,0.3655620236578768
2,head,15,0.19299954273125183,0.12143763126586672,1.4012849369549911,1.0629235032218225,0.3223963124732186,0.20166148689885532,0.16573100681941458,0.10426315820139372,0.6721278957784754,0.4183443779690689
2,head,25,0.16168063141594882,0.05847913592762702,0.8339468763013996,0.39607615278828906,0.26796888285491366,0.12132701002482255,0.14016429962729066,0.05375138658188255,0.6015691957400883,0.1825659436298138
2,head,5,0.16399198225524517,0.08813892439742368,3.09264614702473,1.9761883139179073,0.23147238067475948,0.11149955075999582,0.13475226885049796,0.06799793733791608,0.6289955713349614,0.37594508800203313
